year,name,pick,college,seasons,g,ws_48,bpm,vorp
2013,Joffrey Lauvergne,55,,4,208,.089,-2.1,-0.1
2013,Peyton Siva,56,Louisville,1,24,-.032,-6.4,-0.2
2013,Alex Oriakhi,57,Missouri,,,,,
2013,Deshaun Thomas,58,Ohio State,,,,,
2013,Bojan Dubljević,59,,,,,,
2013,Jānis Timma,60,,,,,,
2014,Andrew Wiggins,1,Kansas,9,635,.057,-1.5,3.0
2014,Jabari Parker,2,Duke,8,310,.078,-0.8,2.5
2014,Joel Embiid,3,Kansas,7,393,.215,6.5,26.8
2014,Aaron Gordon,4,Arizona,9,595,.098,0.1,9.4
2014,Dante Exum,5,,6,245,.032,-3.3,-1.5
2014,Marcus Smart,6,Oklahoma State,9,581,.092,-0.3,7.7
2014,Julius Randle,7,Kentucky,9,595,.101,0.9,13.6
2014,Nik Stauskas,8,Michigan,6,343,.028,-3.0,-1.7
2014,Noah Vonleh,9,Indiana,8,362,.077,-2.5,-0.7
2014,Elfrid Payton,10,Louisiana,8,500,.057,-0.9,3.7
2014,Doug McDermott,11,Creighton,9,591,.079,-2.0,0.0
2014,Dario Šarić,12,,6,412,.088,-0.9,2.7
2014,Zach LaVine,13,UCLA,9,554,.082,0.7,12.2
2014,T.J. Warren,14,NC State,8,374,.097,-0.4,4.2
2014,Adreian Payne,15,Michigan State,4,107,-.019,-5.9,-1.4
2014,Jusuf Nurkić,16,,9,463,.112,0.4,6.8
2014,James Young,17,Kentucky,4,95,.046,-3.4,-0.3
2014,Tyler Ennis,18,Syracuse,4,186,.026,-3.4,-0.8
2014,Gary Harris,19,Michigan State,9,516,.076,-1.3,2.5
2014,Bruno Caboclo,20,,7,105,.054,-2.7,-0.2
2014,Mitch McGary,21,Michigan,2,52,.108,-2.6,-0.1
2014,Jordan Adams,22,UCLA,2,32,.070,1.7,0.2
2014,Rodney Hood,23,Duke,8,448,.076,-1.2,2.2
2014,Shabazz Napier,24,UConn,6,345,.065,-0.7,2.0
2014,Clint Capela,25,,9,535,.201,2.1,14.6
2014,P.J. Hairston,26,UNC,2,111,.021,-3.9,-1.0
2014,Bogdan Bogdanović,27,,6,369,.086,0.4,6.4
2014,C.J. Wilcox,28,Washington,3,66,.007,-4.3,-0.2
2014,Josh Huestis,29,Stanford,3,76,.030,-3.5,-0.4
2014,Kyle Anderson,30,UCLA,9,572,.123,1.9,12.2
2014,Damien Inglis,31,,1,20,-.024,-5.6,-0.1
2014,K.J. McDaniels,32,Clemson,3,148,.030,-2.8,-0.4
2014,Joe Harris,33,Virginia,9,487,.091,-0.6,4.2
2014,Cleanthony Early,34,Wichita State,2,56,-.039,-5.9,-0.8
2014,Jarnell Stokes,35,Tennessee,3,28,.202,0.1,0.1
2014,Johnny O'Bryant,36,LSU,4,147,.006,-6.2,-1.8
2014,DeAndre Daniels,37,UConn,,,,,
2014,Spencer Dinwiddie,38,Colorado,9,465,.107,0.4,7.8
2014,Jerami Grant,39,Syracuse,9,618,.093,-0.4,6.8
2014,Glenn Robinson III,40,Michigan,7,304,.071,-1.7,0.4
2014,Nikola Jokić,41,,8,595,.248,9.4,52.8
2014,Nick Johnson,42,Arizona,1,28,-.020,-6.5,-0.3
2014,Edy Tavares,43,,2,13,.118,-0.4,0.0
